"File","OriginalBytes","WebPBytes","SavedBytes","Status"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2572.jpg","14321728","2499118","11822610","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2573.jpg","15303810","2293980","13009830","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2574.jpg","13932910","2147598","11785312","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2574-2.jpg","7148980","1113042","6035938","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2575.jpg","9659938","1478770","8181168","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2579.jpg","13300064","2123782","11176282","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2582.jpg","13057049","1824186","11232863","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2584.jpg","12503797","2158050","10345747","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2588.jpg","13330031","1363042","11966989","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2589.jpg","12849015","1245824","11603191","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2591.jpg","11783744","1187922","10595822","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2593.jpg","12205905","1142872","11063033","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2597.jpg","11418239","1143588","10274651","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2604.jpg","11374205","840402","10533803","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2607.jpg","10544438","796288","9748150","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2610.jpg","10889153","812468","10076685","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2611.jpg","9968619","774308","9194311","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2616.jpg","4544293","361624","4182669","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2617.jpg","10817221","796016","10021205","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2621.jpg","9575271","717036","8858235","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2626.jpg","12417660","1213394","11204266","Converted"
"E:\Kiah Website Backup\kiah-website-recovered\Images\Eagle\Reunions\Committal Pics\4C0A2637.jpg","11267191","1206046","10061145","Converted"
